FIPS_Code,State,Area_Name,Attribute,Value,Dataset
6099,CA,Stanislaus County,"High school graduate (or equivalency), 1990",58124.0,education
6099,CA,Stanislaus County,"Some college or associate degree, 1990",64822.0,education
6099,CA,Stanislaus County,"Bachelor's degree or higher, 1990",28712.0,education
6099,CA,Stanislaus County,"Percent of adults who are not high school graduates, 1990",31.6,education
6099,CA,Stanislaus County,"Percent of adults who are high school graduates (or equivalent), 1990",26.2,education
6099,CA,Stanislaus County,"Percent of adults completing some college or associate degree, 1990",29.2,education
6099,CA,Stanislaus County,"Percent of adults with a bachelor's degree or higher, 1990",13.0,education
6099,CA,Stanislaus County,"Less than high school graduate, 2000",78427.0,education
6099,CA,Stanislaus County,"High school graduate (or equivalency), 2000",68945.0,education
6099,CA,Stanislaus County,"Some college or associate degree, 2000",80027.0,education
6099,CA,Stanislaus County,"Bachelor's degree or higher, 2000",37179.0,education
6099,CA,Stanislaus County,"Percent of adults who are not high school graduates, 2000",29.6,education
6099,CA,Stanislaus County,"Percent of adults who are high school graduates (or equivalent), 2000",26.1,education
6099,CA,Stanislaus County,"Percent of adults completing some college or associate degree, 2000",30.2,education
6099,CA,Stanislaus County,"Percent of adults with a bachelor's degree or higher, 2000",14.1,education
6099,CA,Stanislaus County,"Less than high school graduate, 2008-12",75499.0,education
6099,CA,Stanislaus County,"High school graduate (or equivalency), 2008-12",86826.0,education
6099,CA,Stanislaus County,"Some college or associate degree, 2008-12",100656.0,education
6099,CA,Stanislaus County,"Bachelor's degree or higher, 2008-12",51107.0,education
6099,CA,Stanislaus County,"Percent of adults who are not high school graduates, 2008-12",24.03753088,education
6099,CA,Stanislaus County,"Percent of adults who are high school graduates (or equivalent), 2008-12",27.64384504,education
6099,CA,Stanislaus County,"Percent of adults completing some college or associate degree, 2008-12",32.04706961,education
6099,CA,Stanislaus County,"Percent of adults with a bachelor's degree or higher, 2008-12",16.27155447,education
6099,CA,Stanislaus County,"Less than high school graduate, 2019-23",70118.0,education
6099,CA,Stanislaus County,"High school graduate (or equivalency), 2019-23",103475.0,education
6099,CA,Stanislaus County,"Some college or associate degree, 2019-23",111518.0,education
6099,CA,Stanislaus County,"Bachelor's degree or higher, 2019-23",67474.0,education
6099,CA,Stanislaus County,"Percent of adults who are not high school graduates, 2019-23",19.8868358,education
6099,CA,Stanislaus County,"Percent of adults who are high school graduates (or equivalent), 2019-23",29.34753322,education
6099,CA,Stanislaus County,"Percent of adults completing some college or associate degree, 2019-23",31.62868528,education
6099,CA,Stanislaus County,"Percent of adults with a bachelor's degree or higher, 2019-23",19.1369457,education
6101,CA,Sutter County,2013 Urban Influence Code,2.0,education
6101,CA,Sutter County,2024 Urban Influence Code,4.0,education
6101,CA,Sutter County,2013 Rural-urban Continuum Code,3.0,education
6101,CA,Sutter County,2023 Rural-urban Continuum Code,3.0,education
6101,CA,Sutter County,"Less than a high school diploma, 1970",9490.0,education
6101,CA,Sutter County,"High school diploma only, 1970",6923.0,education
6101,CA,Sutter County,"Some college (1-3 years), 1970",3434.0,education
6101,CA,Sutter County,"Four years of college or higher, 1970",2386.0,education
6101,CA,Sutter County,"Percent of adults with less than a high school diploma, 1970",42.7,education
6101,CA,Sutter County,"Percent of adults with a high school diploma only, 1970",31.1,education
6101,CA,Sutter County,"Percent of adults completing some college (1-3 years), 1970",15.4,education
6101,CA,Sutter County,"Percent of adults completing four years of college or higher, 1970",10.7,education
6101,CA,Sutter County,"Less than a high school diploma, 1980",9751.0,education
6101,CA,Sutter County,"High school diploma only, 1980",9851.0,education
6101,CA,Sutter County,"Some college (1-3 years), 1980",6239.0,education
6101,CA,Sutter County,"Four years of college or higher, 1980",4351.0,education
6101,CA,Sutter County,"Percent of adults with less than a high school diploma, 1980",32.3,education
6101,CA,Sutter County,"Percent of adults with a high school diploma only, 1980",32.6,education
6101,CA,Sutter County,"Percent of adults completing some college (1-3 years), 1980",20.7,education
6101,CA,Sutter County,"Percent of adults completing four years of college or higher, 1980",14.4,education
6101,CA,Sutter County,"Less than high school graduate, 1990",11044.0,education
6101,CA,Sutter County,"High school graduate (or equivalency), 1990",9935.0,education
6101,CA,Sutter County,"Some college or associate degree, 1990",12745.0,education
6101,CA,Sutter County,"Bachelor's degree or higher, 1990",6130.0,education
6101,CA,Sutter County,"Percent of adults who are not high school graduates, 1990",27.7,education
6101,CA,Sutter County,"Percent of adults who are high school graduates (or equivalent), 1990",24.9,education
6101,CA,Sutter County,"Percent of adults completing some college or associate degree, 1990",32.0,education
6101,CA,Sutter County,"Percent of adults with a bachelor's degree or higher, 1990",15.4,education
6101,CA,Sutter County,"Less than high school graduate, 2000",13260.0,education
6101,CA,Sutter County,"High school graduate (or equivalency), 2000",11569.0,education
6101,CA,Sutter County,"Some college or associate degree, 2000",16740.0,education
6101,CA,Sutter County,"Bachelor's degree or higher, 2000",7502.0,education
6101,CA,Sutter County,"Percent of adults who are not high school graduates, 2000",27.0,education
6101,CA,Sutter County,"Percent of adults who are high school graduates (or equivalent), 2000",23.6,education
6101,CA,Sutter County,"Percent of adults completing some college or associate degree, 2000",34.1,education
6101,CA,Sutter County,"Percent of adults with a bachelor's degree or higher, 2000",15.3,education
6101,CA,Sutter County,"Less than high school graduate, 2008-12",13142.0,education
6101,CA,Sutter County,"High school graduate (or equivalency), 2008-12",13912.0,education
6101,CA,Sutter County,"Some college or associate degree, 2008-12",21393.0,education
6101,CA,Sutter County,"Bachelor's degree or higher, 2008-12",10940.0,education
